TransactionID,Date,Category,Amount,Currency,Description,AccountType,Status,Quantity,PricePerUnit,IsRecurring,CustomerID,EmployeeID,Region,PaymentMethod
1,2023-01-05,Groceries,55.23,USD,Weekly grocery shopping,Checking,Completed,1,55.23,FALSE,C001,E001,North,Credit Card
2,2023-01-06,Utilities,120.00,USD,Monthly electricity bill,Savings,Completed,1,120.00,TRUE,C002,E002,South,Bank Transfer
3,2023-01-07,Dining,45.75,USD,Dinner with friends,Credit,Completed,1,45.75,FALSE,C003,E003,East,Debit Card
4,2023-01-08,Transportation,15.50,USD,Bus fare,Checking,Completed,1,15.50,FALSE,C004,E004,West,Cash
5,2023-01-09,Entertainment,30.00,USD,Movie tickets,Savings,Completed,2,15.00,FALSE,C005,E005,North,Credit Card
6,2023-01-10,Healthcare,80.00,USD,Pharmacy purchase,Checking,Pending,1,80.00,FALSE,C006,E006,South,Insurance
7,2023-01-11,Shopping,150.99,USD,New clothes,Credit,Completed,1,150.99,FALSE,C007,E007,East,Credit Card
8,2023-01-12,Education,200.00,USD,Online course fee,Savings,Completed,1,200.00,FALSE,C008,E008,West,Bank Transfer
9,2023-01-13,Travel,350.00,USD,Flight booking,Checking,Completed,1,350.00,FALSE,C009,E009,North,Credit Card
10,2023-01-14,Groceries,60.10,USD,Weekly grocery shopping,Checking,Completed,1,60.10,FALSE,C010,E010,South,Debit Card
11,2023-01-15,Utilities,90.00,USD,Internet bill,Savings,Completed,1,90.00,TRUE,C011,E011,East,Bank Transfer
12,2023-01-16,Dining,70.20,USD,Restaurant dinner,Credit,Completed,1,70.20,FALSE,C012,E012,West,Credit Card
13,2023-01-17,Transportation,25.00,USD,Taxi ride,Checking,Completed,1,25.00,FALSE,C013,E013,North,Cash
14,2023-01-18,Entertainment,50.00,USD,Concert tickets,Savings,Completed,2,25.00,FALSE,C014,E014,South,Credit Card
15,2023-01-19,Healthcare,110.00,USD,Doctor's visit,Checking,Completed,1,110.00,FALSE,C015,E015,East,Insurance
16,2023-01-20,Shopping,85.50,USD,Books,Credit,Completed,1,85.50,FALSE,C016,E016,West,Debit Card
17,2023-01-21,Education,150.00,USD,Tuition fee,Savings,Completed,1,150.00,TRUE,C017,E017,North,Bank Transfer
18,2023-01-22,Travel,280.00,USD,Hotel stay,Checking,Completed,1,280.00,FALSE,C018,E018,South,Credit Card
19,2023-01-23,Groceries,48.90,USD,Weekly grocery shopping,Checking,Completed,1,48.90,FALSE,C019,E019,East,Credit Card
20,2023-01-24,Utilities,105.00,USD,Water bill,Savings,Completed,1,105.00,TRUE,C020,E020,West,Bank Transfer
21,2023-01-25,Dining,35.00,USD,Lunch,Credit,Completed,1,35.00,FALSE,C021,E021,North,Debit Card
22,2023-01-26,Transportation,10.00,USD,Subway fare,Checking,Completed,1,10.00,FALSE,C022,E022,South,Cash
23,2023-01-27,Entertainment,20.00,USD,Streaming service,Savings,Completed,1,20.00,TRUE,C023,E023,East,Credit Card
24,2023-01-28,Healthcare,65.00,USD,Dental checkup,Checking,Completed,1,65.00,FALSE,C024,E024,West,Insurance
25,2023-01-29,Shopping,95.00,USD,Electronics,Credit,Completed,1,95.00,FALSE,C025,E025,North,Credit Card
26,2023-01-30,Education,180.00,USD,Workshop fee,Savings,Completed,1,180.00,FALSE,C026,E026,South,Bank Transfer
27,2023-01-31,Travel,400.00,USD,Train ticket,Checking,Completed,1,400.00,FALSE,C027,E027,East,Credit Card
28,2023-02-01,Groceries,52.00,USD,Weekly grocery shopping,Checking,Completed,1,52.00,FALSE,C028,E028,West,Debit Card
29,2023-02-02,Utilities,115.00,USD,Gas bill,Savings,Completed,1,115.00,TRUE,C029,E029,North,Bank Transfer
